Airline,Source,Destination,Route,DurationInMinutes,Total_Stops,Price
IndiGo,Banglore,New Delhi,1,170,0,3897
Air India,Kolkata,Banglore,3,445,2,7662
Jet Airways,Delhi,Cochin,3,1140,2,13882
IndiGo,Kolkata,Banglore,2,325,1,6218
IndiGo,Banglore,New Delhi,2,285,1,13302
SpiceJet,Kolkata,Banglore,1,145,0,3873
Jet Airways,Banglore,New Delhi,2,930,1,11087
Jet Airways,Banglore,New Delhi,2,1265,1,22270
Jet Airways,Banglore,New Delhi,2,1530,1,11087
Multiple carriers,Delhi,Cochin,2,470,1,8625
Air India,Delhi,Cochin,2,795,1,8907
IndiGo,Kolkata,Banglore,1,155,0,4174
Air India,Chennai,Kolkata,1,135,0,4667
Jet Airways,Kolkata,Banglore,2,730,1,9663
IndiGo,Kolkata,Banglore,1,155,0,4804
Air India,Delhi,Cochin,3,1595,2,14011
SpiceJet,Delhi,Cochin,2,270,1,5830
Jet Airways,Delhi,Cochin,2,1355,1,10262
Air India,Delhi,Cochin,3,1380,2,13381
Jet Airways,Delhi,Cochin,2,1235,1,12898
GoAir,Delhi,Cochin,2,310,1,19495
Air India,Banglore,New Delhi,2,920,1,6955
IndiGo,Banglore,Delhi,1,170,0,3943
IndiGo,Banglore,Delhi,1,175,0,4823
Jet Airways,Kolkata,Banglore,2,800,1,7757
Jet Airways,Delhi,Cochin,3,910,2,13292
IndiGo,Delhi,Cochin,2,345,1,8238
GoAir,Delhi,Cochin,2,355,1,7682
Vistara,Banglore,Delhi,1,170,0,4668
Vistara,Chennai,Kolkata,1,135,0,3687
Vistara,Chennai,Kolkata,1,135,0,3687
Air India,Kolkata,Banglore,3,805,2,13227
IndiGo,Banglore,Delhi,1,170,0,4423
Jet Airways,Delhi,Cochin,3,1320,2,10919
Jet Airways,Delhi,Cochin,2,330,1,12373
IndiGo,Delhi,Cochin,2,625,1,5894
SpiceJet,Kolkata,Banglore,2,315,1,4649
Air India,Kolkata,Banglore,1,150,0,6245
Jet Airways,Banglore,New Delhi,2,375,1,19225
Jet Airways,Delhi,Cochin,2,715,1,14924
Multiple carriers,Delhi,Cochin,2,665,1,9646
Air India,Banglore,New Delhi,2,510,1,8714
Jet Airways,Delhi,Cochin,2,1325,1,12373
Air Asia,Banglore,Delhi,1,165,0,3383
Multiple carriers,Delhi,Cochin,2,720,1,13062
SpiceJet,Banglore,New Delhi,1,170,0,3527
IndiGo,Banglore,Delhi,1,170,0,3943
Air India,Chennai,Kolkata,1,135,0,4667
Air India,Kolkata,Banglore,2,965,1,6117
Jet Airways,Delhi,Cochin,3,1195,2,11150
Jet Airways,Delhi,Cochin,1,195,0,7202
Jet Airways,Kolkata,Banglore,2,1520,1,12121
IndiGo,Banglore,New Delhi,1,170,0,4377
IndiGo,Banglore,Delhi,1,180,0,3943
Air Asia,Banglore,Delhi,1,170,0,4483
Jet Airways,Kolkata,Banglore,2,975,1,14231
Air India,Banglore,New Delhi,3,905,2,17345
Vistara,Chennai,Kolkata,1,135,0,7414
Multiple carriers,Delhi,Cochin,2,390,1,8073
Vistara,Mumbai,Hyderabad,2,1505,1,12395
Air India,Kolkata,Banglore,2,745,1,8366
Air India,Delhi,Cochin,2,1640,1,5117
Multiple carriers,Delhi,Cochin,2,615,1,12524
IndiGo,Delhi,Cochin,2,630,1,7191
Vistara,Chennai,Kolkata,1,135,0,3687
IndiGo,Delhi,Cochin,2,625,1,5894
Vistara,Banglore,Delhi,1,170,0,5403
Air India,Mumbai,Hyderabad,1,90,0,3625
Air India,Delhi,Cochin,3,800,2,10861
IndiGo,Chennai,Kolkata,1,135,0,6297
Jet Airways,Mumbai,Hyderabad,1,85,0,5678
Jet Airways,Banglore,New Delhi,2,1590,1,9134
Multiple carriers,Delhi,Cochin,2,440,1,10791
Jet Airways,Delhi,Cochin,3,810,2,12819
IndiGo,Delhi,Cochin,2,300,1,6893
Vistara,Banglore,New Delhi,1,165,0,7240
GoAir,Banglore,Delhi,1,170,0,3898
IndiGo,Mumbai,Hyderabad,1,90,0,4049
Jet Airways,Delhi,Cochin,2,1145,1,10262
SpiceJet,Chennai,Kolkata,1,135,0,3332
Jet Airways,Kolkata,Banglore,2,890,1,10844
Jet Airways,Banglore,New Delhi,1,160,0,7229
Jet Airways,Kolkata,Banglore,2,1330,1,13941
IndiGo,Delhi,Cochin,2,575,1,5894
Multiple carriers,Delhi,Cochin,2,600,1,10197
Jet Airways,Banglore,New Delhi,2,1280,1,13712
IndiGo,Delhi,Cochin,2,325,1,5636
Jet Airways,Delhi,Cochin,3,1125,2,13014
Jet Airways,Kolkata,Banglore,2,740,1,7064
Jet Airways,Kolkata,Banglore,2,1080,1,10703
Multiple carriers,Delhi,Cochin,2,555,1,9646
Multiple carriers,Delhi,Cochin,2,665,1,17057
Jet Airways,Banglore,New Delhi,2,1050,1,13817
Air India,Delhi,Cochin,3,800,2,13748
Air India,Kolkata,Banglore,1,155,0,4880
IndiGo,Chennai,Kolkata,1,145,0,3540
SpiceJet,Banglore,Delhi,1,160,0,3257
Jet Airways,Banglore,Delhi,1,180,0,6478
Jet Airways,Mumbai,Hyderabad,1,85,0,8040
Jet Airways,Delhi,Cochin,3,995,2,14300
Jet Airways,Kolkata,Banglore,2,740,1,14781
Jet Airways,Kolkata,Banglore,2,735,1,14939
Jet Airways,Delhi,Cochin,2,450,1,10262
Air India,Kolkata,Banglore,2,1440,1,6528
Air India,Banglore,Delhi,1,165,0,6121
